Namespace(gpu=3, seed=0, root_dir='/data', label_noise=0.0, results_csv='/home/sjoshi/spuco_experiments/celeba/gb.csv', arch='resnet50', batch_size=128, num_epochs=50, lr=0.0001, weight_decay=0.1, momentum=0.9)
GB | Epoch 0 | Loss: 0.4804668128490448 | Accuracy: 84.375%
GB | Epoch 0 | Loss: 0.48169946670532227 | Accuracy: 81.25%
GB | Epoch 0 | Loss: 0.46096324920654297 | Accuracy: 89.84375%
GB | Epoch 0 | Loss: 0.5221685171127319 | Accuracy: 79.6875%
GB | Epoch 0 | Loss: 0.5188860893249512 | Accuracy: 78.90625%
GB | Epoch 0 | Loss: 0.4976012706756592 | Accuracy: 78.90625%
GB | Epoch 0 | Loss: 0.467500239610672 | Accuracy: 83.59375%
GB | Epoch 0 | Loss: 0.4637795090675354 | Accuracy: 85.15625%
GB | Epoch 0 | Loss: 0.48380395770072937 | Accuracy: 80.46875%
GB | Epoch 0 | Loss: 0.48670727014541626 | Accuracy: 84.375%
GB | Epoch 0 | Loss: 0.4940342903137207 | Accuracy: 85.9375%
GB | Epoch 0 | Loss: 0.4746057391166687 | Accuracy: 86.71875%
GB | Epoch 0 | Loss: 0.4775705337524414 | Accuracy: 82.03125%
GB | Epoch 0 | Loss: 0.44416454434394836 | Accuracy: 85.15625%
GB | Epoch 0 | Loss: 0.5154213309288025 | Accuracy: 80.46875%
GB | Epoch 0 | Loss: 0.4623096287250519 | Accuracy: 88.28125%
GB | Epoch 0 | Loss: 0.47442930936813354 | Accuracy: 86.71875%
GB | Epoch 0 | Loss: 0.49910253286361694 | Accuracy: 80.46875%
GB | Epoch 0 | Loss: 0.45452994108200073 | Accuracy: 78.90625%
GB | Epoch 0 | Loss: 0.42310407757759094 | Accuracy: 89.84375%
GB | Epoch 0 | Loss: 0.44640788435935974 | Accuracy: 85.9375%
GB | Epoch 0 | Loss: 0.4564480185508728 | Accuracy: 90.625%
GB | Epoch 0 | Loss: 0.5044917464256287 | Accuracy: 82.03125%
GB | Epoch 0 | Loss: 0.4623347818851471 | Accuracy: 85.15625%
GB | Epoch 0 | Loss: 0.4630913734436035 | Accuracy: 81.25%
GB | Epoch 0 | Loss: 0.4554694592952728 | Accuracy: 82.8125%
GB | Epoch 0 | Loss: 0.474622517824173 | Accuracy: 85.15625%
GB | Epoch 0 | Loss: 0.4745330214500427 | Accuracy: 83.59375%
GB | Epoch 0 | Loss: 0.452539324760437 | Accuracy: 88.28125%
GB | Epoch 0 | Loss: 0.4753325283527374 | Accuracy: 82.03125%
GB | Epoch 0 | Loss: 0.4435366690158844 | Accuracy: 83.59375%
GB | Epoch 0 | Loss: 0.4610879719257355 | Accuracy: 89.0625%
GB | Epoch 0 | Loss: 0.44527292251586914 | Accuracy: 85.9375%
GB | Epoch 0 | Loss: 0.45192950963974 | Accuracy: 89.0625%
GB | Epoch 0 | Loss: 0.42542579770088196 | Accuracy: 82.8125%
GB | Epoch 0 | Loss: 0.4219486117362976 | Accuracy: 85.9375%
GB | Epoch 0 | Loss: 0.43438413739204407 | Accuracy: 88.28125%
GB | Epoch 0 | Loss: 0.46067360043525696 | Accuracy: 83.59375%
GB | Epoch 0 | Loss: 0.45864138007164 | Accuracy: 84.375%
GB | Epoch 0 | Loss: 0.46335116028785706 | Accuracy: 84.375%
GB | Epoch 0 | Loss: 0.47035494446754456 | Accuracy: 80.46875%
GB | Epoch 0 | Loss: 0.4340139925479889 | Accuracy: 89.84375%
GB | Epoch 0 | Loss: 0.43723538517951965 | Accuracy: 85.15625%
GB | Epoch 0 | Loss: 0.4593912661075592 | Accuracy: 82.8125%
GB | Epoch 0 | Loss: 0.45517945289611816 | Accuracy: 84.375%
GB | Epoch 0 | Loss: 0.42777585983276367 | Accuracy: 86.71875%
GB | Epoch 0 | Loss: 0.4250687062740326 | Accuracy: 86.71875%
GB | Epoch 0 | Loss: 0.43043413758277893 | Accuracy: 85.9375%
GB | Epoch 0 | Loss: 0.43860843777656555 | Accuracy: 83.59375%
GB | Epoch 0 | Loss: 0.44982394576072693 | Accuracy: 82.03125%
GB | Epoch 0 | Loss: 0.45314231514930725 | Accuracy: 82.03125%
GB | Epoch 0 | Loss: 0.4242444336414337 | Accuracy: 87.5%
GB | Epoch 0 | Loss: 0.42437273263931274 | Accuracy: 84.375%
GB | Epoch 0 | Loss: 0.43867188692092896 | Accuracy: 85.15625%
GB | Epoch 0 | Loss: 0.38192489743232727 | Accuracy: 90.625%
GB | Epoch 0 | Loss: 0.41962024569511414 | Accuracy: 85.9375%
GB | Epoch 0 | Loss: 0.4450918436050415 | Accuracy: 84.375%
GB | Epoch 0 | Loss: 0.4619467556476593 | Accuracy: 80.46875%
GB | Epoch 0 | Loss: 0.4061831831932068 | Accuracy: 89.84375%
GB | Epoch 0 | Loss: 0.4253915250301361 | Accuracy: 84.375%
GB | Epoch 0 | Loss: 0.38067787885665894 | Accuracy: 90.625%
GB | Epoch 0 | Loss: 0.446871817111969 | Accuracy: 83.59375%
GB | Epoch 0 | Loss: 0.46558642387390137 | Accuracy: 80.46875%
GB | Epoch 0 | Loss: 0.4590158462524414 | Accuracy: 78.125%
GB | Epoch 0 | Loss: 0.40687254071235657 | Accuracy: 85.15625%
GB | Epoch 0 | Loss: 0.4339662194252014 | Accuracy: 84.375%
GB | Epoch 0 | Loss: 0.3832014799118042 | Accuracy: 90.625%
GB | Epoch 0 | Loss: 0.402023583650589 | Accuracy: 89.0625%
GB | Epoch 0 | Loss: 0.4067462682723999 | Accuracy: 85.9375%
GB | Epoch 0 | Loss: 0.4133610129356384 | Accuracy: 87.5%
GB | Epoch 0 | Loss: 0.4070025682449341 | Accuracy: 84.375%
GB | Epoch 0 | Loss: 0.3814369738101959 | Accuracy: 92.1875%
GB | Epoch 0 | Loss: 0.4405835270881653 | Accuracy: 83.59375%
GB | Epoch 0 | Loss: 0.3812166452407837 | Accuracy: 92.96875%
GB | Epoch 0 | Loss: 0.39831671118736267 | Accuracy: 89.0625%
GB | Epoch 0 | Loss: 0.410550057888031 | Accuracy: 86.71875%
GB | Epoch 0 | Loss: 0.42496126890182495 | Accuracy: 83.59375%
GB | Epoch 0 | Loss: 0.4203987121582031 | Accuracy: 87.5%
GB | Epoch 0 | Loss: 0.3809973895549774 | Accuracy: 90.625%
GB | Epoch 0 | Loss: 0.3962404131889343 | Accuracy: 87.5%
GB | Epoch 0 | Loss: 0.4376569390296936 | Accuracy: 79.6875%
GB | Epoch 0 | Loss: 0.38559091091156006 | Accuracy: 89.84375%
GB | Epoch 0 | Loss: 0.36591529846191406 | Accuracy: 85.9375%
GB | Epoch 0 | Loss: 0.4241838753223419 | Accuracy: 82.03125%
GB | Epoch 0 | Loss: 0.4027658700942993 | Accuracy: 85.15625%
GB | Epoch 0 | Loss: 0.39685916900634766 | Accuracy: 87.5%
GB | Epoch 0 | Loss: 0.43078145384788513 | Accuracy: 82.03125%
GB | Epoch 0 | Loss: 0.3623071014881134 | Accuracy: 87.5%
GB | Epoch 0 | Loss: 0.4075678586959839 | Accuracy: 84.375%
GB | Epoch 0 | Loss: 0.41476812958717346 | Accuracy: 83.59375%
GB | Epoch 0 | Loss: 0.4066680669784546 | Accuracy: 84.375%
GB | Epoch 0 | Loss: 0.40720516443252563 | Accuracy: 86.71875%
GB | Epoch 0 | Loss: 0.394766241312027 | Accuracy: 84.375%
GB | Epoch 0 | Loss: 0.34939518570899963 | Accuracy: 89.84375%
GB | Epoch 0 | Loss: 0.43520620465278625 | Accuracy: 81.25%
GB | Epoch 0 | Loss: 0.43720385432243347 | Accuracy: 80.46875%
GB | Epoch 0 | Loss: 0.40023723244667053 | Accuracy: 89.0625%
GB | Epoch 0 | Loss: 0.40932756662368774 | Accuracy: 85.15625%
GB | Epoch 0 | Loss: 0.40777501463890076 | Accuracy: 87.5%
GB | Epoch 0 | Loss: 0.4179103970527649 | Accuracy: 80.46875%
GB | Epoch 0 | Loss: 0.4434833824634552 | Accuracy: 80.46875%
GB | Epoch 0 | Loss: 0.39423662424087524 | Accuracy: 84.375%
GB | Epoch 0 | Loss: 0.36985692381858826 | Accuracy: 89.84375%
GB | Epoch 0 | Loss: 0.4063722789287567 | Accuracy: 79.6875%
GB | Epoch 0 | Loss: 0.40560412406921387 | Accuracy: 85.9375%
GB | Epoch 0 | Loss: 0.37994274497032166 | Accuracy: 88.28125%
GB | Epoch 0 | Loss: 0.41579872369766235 | Accuracy: 88.28125%
GB | Epoch 0 | Loss: 0.35590776801109314 | Accuracy: 89.0625%
GB | Epoch 0 | Loss: 0.4110027551651001 | Accuracy: 85.15625%
GB | Epoch 0 | Loss: 0.38771378993988037 | Accuracy: 87.5%
GB | Epoch 0 | Loss: 0.4146021604537964 | Accuracy: 86.71875%
GB | Epoch 0 | Loss: 0.338666707277298 | Accuracy: 90.625%
GB | Epoch 0 | Loss: 0.34655362367630005 | Accuracy: 89.84375%
GB | Epoch 0 | Loss: 0.3980613946914673 | Accuracy: 84.375%
GB | Epoch 0 | Loss: 0.4384128153324127 | Accuracy: 82.03125%
GB | Epoch 0 | Loss: 0.3483191132545471 | Accuracy: 89.84375%
GB | Epoch 0 | Loss: 0.4102630615234375 | Accuracy: 82.03125%
GB | Epoch 0 | Loss: 0.3347235918045044 | Accuracy: 92.1875%
GB | Epoch 0 | Loss: 0.38436219096183777 | Accuracy: 85.15625%
GB | Epoch 0 | Loss: 0.39012235403060913 | Accuracy: 84.375%
GB | Epoch 0 | Loss: 0.35741350054740906 | Accuracy: 86.71875%
GB | Epoch 0 | Loss: 0.373347669839859 | Accuracy: 82.8125%
GB | Epoch 0 | Loss: 0.3507031798362732 | Accuracy: 89.84375%
GB | Epoch 0 | Loss: 0.3537157475948334 | Accuracy: 89.84375%
GB | Epoch 0 | Loss: 0.3840036690235138 | Accuracy: 84.375%
GB | Epoch 0 | Loss: 0.38550469279289246 | Accuracy: 88.28125%
GB | Epoch 0 | Loss: 0.3583134710788727 | Accuracy: 87.5%
GB | Epoch 0 | Loss: 0.37812888622283936 | Accuracy: 86.71875%
GB | Epoch 0 | Loss: 0.36332863569259644 | Accuracy: 85.9375%
GB | Epoch 0 | Loss: 0.33983224630355835 | Accuracy: 91.40625%
GB | Epoch 0 | Loss: 0.36248472332954407 | Accuracy: 82.8125%
GB | Epoch 0 | Loss: 0.3486759662628174 | Accuracy: 84.375%
GB | Epoch 0 | Loss: 0.33833926916122437 | Accuracy: 89.0625%
GB | Epoch 0 | Loss: 0.31137987971305847 | Accuracy: 92.1875%
GB | Epoch 0 | Loss: 0.37476304173469543 | Accuracy: 85.9375%
GB | Epoch 0 | Loss: 0.3610683083534241 | Accuracy: 88.28125%
GB | Epoch 0 | Loss: 0.4174024164676666 | Accuracy: 85.15625%
GB | Epoch 0 | Loss: 0.3993930220603943 | Accuracy: 82.03125%
GB | Epoch 0 | Loss: 0.3557758331298828 | Accuracy: 87.5%
GB | Epoch 0 | Loss: 0.35433754324913025 | Accuracy: 89.84375%
GB | Epoch 0 | Loss: 0.3591517210006714 | Accuracy: 88.28125%
GB | Epoch 0 | Loss: 0.3527306318283081 | Accuracy: 90.625%
GB | Epoch 0 | Loss: 0.34834617376327515 | Accuracy: 85.15625%
GB | Epoch 0 | Loss: 0.36811134219169617 | Accuracy: 85.15625%
GB | Epoch 0 | Loss: 0.3213875889778137 | Accuracy: 91.40625%
GB | Epoch 0 | Loss: 0.3602467477321625 | Accuracy: 85.9375%
GB | Epoch 0 | Loss: 0.29845771193504333 | Accuracy: 92.96875%
GB | Epoch 0 | Loss: 0.3615208864212036 | Accuracy: 87.5%
GB | Epoch 0 | Loss: 0.3908805847167969 | Accuracy: 84.375%
GB | Epoch 0 | Loss: 0.3493867516517639 | Accuracy: 85.9375%
