Namespace(gpu=0, seed=0, root_dir='/data/spucosun/3.0', label_noise=0.0, results_csv='/home/sjoshi/spuco_experiments/spuco_animals_clip/results.csv', stdout_file='2024-01-2414:38:12.344634-spuco_sun_lrmix.out', arch='cliprn50', batch_size=128, num_epochs=40, lr=0.0001, weight_decay=0.0001, momentum=0.9, wandb=False, wandb_project='spuco', wandb_entity=None, wandb_run_name='spuco_sun_lrmix')
ERM | Epoch 0 | Loss: 1.3743027448654175 | Accuracy: 39.0625%
ERM | Epoch 0 | Loss: 1.370076060295105 | Accuracy: 46.875%
ERM | Epoch 0 | Loss: 1.3785209655761719 | Accuracy: 36.71875%
ERM | Epoch 0 | Loss: 1.3705073595046997 | Accuracy: 42.96875%
ERM | Epoch 0 | Loss: 1.3767424821853638 | Accuracy: 40.625%
ERM | Epoch 0 | Loss: 1.3751139640808105 | Accuracy: 39.0625%
ERM | Epoch 0 | Loss: 1.3754255771636963 | Accuracy: 42.96875%
ERM | Epoch 0 | Loss: 1.3768985271453857 | Accuracy: 39.84375%
ERM | Epoch 0 | Loss: 1.3757320642471313 | Accuracy: 35.15625%
ERM | Epoch 0 | Loss: 1.372216820716858 | Accuracy: 42.96875%
ERM | Epoch 0 | Loss: 1.3748990297317505 | Accuracy: 37.5%
ERM | Epoch 0 | Loss: 1.375665545463562 | Accuracy: 39.84375%
ERM | Epoch 0 | Loss: 1.374668836593628 | Accuracy: 42.1875%
ERM | Epoch 0 | Loss: 1.3714359998703003 | Accuracy: 48.4375%
ERM | Epoch 0 | Loss: 1.373765468597412 | Accuracy: 36.71875%
ERM | Epoch 0 | Loss: 1.3761472702026367 | Accuracy: 36.71875%
ERM | Epoch 0 | Loss: 1.3696627616882324 | Accuracy: 46.09375%
ERM | Epoch 0 | Loss: 1.3777742385864258 | Accuracy: 35.9375%
ERM | Epoch 0 | Loss: 1.3730429410934448 | Accuracy: 38.28125%
ERM | Epoch 0 | Loss: 1.3740298748016357 | Accuracy: 37.5%
ERM | Epoch 0 | Loss: 1.3752063512802124 | Accuracy: 39.0625%
ERM | Epoch 0 | Loss: 1.3657317161560059 | Accuracy: 49.21875%
ERM | Epoch 0 | Loss: 1.3706027269363403 | Accuracy: 47.65625%
ERM | Epoch 0 | Loss: 1.378651738166809 | Accuracy: 35.9375%
ERM | Epoch 0 | Loss: 1.372611165046692 | Accuracy: 42.1875%
ERM | Epoch 0 | Loss: 1.37507963180542 | Accuracy: 41.40625%
ERM | Epoch 0 | Loss: 1.3699352741241455 | Accuracy: 46.875%
ERM | Epoch 0 | Loss: 1.3716233968734741 | Accuracy: 44.53125%
ERM | Epoch 0 | Loss: 1.3740001916885376 | Accuracy: 39.84375%
ERM | Epoch 0 | Loss: 1.3751577138900757 | Accuracy: 37.5%
ERM | Epoch 0 | Loss: 1.3732365369796753 | Accuracy: 41.40625%
ERM | Epoch 0 | Loss: 1.3704365491867065 | Accuracy: 43.75%
ERM | Epoch 0 | Loss: 1.3703291416168213 | Accuracy: 46.09375%
ERM | Epoch 0 | Loss: 1.3744181394577026 | Accuracy: 37.5%
ERM | Epoch 0 | Loss: 1.370823621749878 | Accuracy: 46.875%
ERM | Epoch 0 | Loss: 1.3691959381103516 | Accuracy: 46.09375%
ERM | Epoch 0 | Loss: 1.3692904710769653 | Accuracy: 52.34375%
ERM | Epoch 0 | Loss: 1.37204909324646 | Accuracy: 45.3125%
ERM | Epoch 0 | Loss: 1.3756656646728516 | Accuracy: 37.5%
ERM | Epoch 0 | Loss: 1.3692790269851685 | Accuracy: 45.3125%
ERM | Epoch 0 | Loss: 1.3714393377304077 | Accuracy: 51.5625%
ERM | Epoch 0 | Loss: 1.3711612224578857 | Accuracy: 49.21875%
ERM | Epoch 0 | Loss: 1.3727763891220093 | Accuracy: 38.28125%
ERM | Epoch 0 | Loss: 1.3750959634780884 | Accuracy: 39.0625%
ERM | Epoch 0 | Loss: 1.371009349822998 | Accuracy: 37.5%
ERM | Epoch 0 | Loss: 1.3716058731079102 | Accuracy: 43.75%
ERM | Epoch 0 | Loss: 1.3754940032958984 | Accuracy: 39.0625%
ERM | Epoch 0 | Loss: 1.373445749282837 | Accuracy: 39.84375%
ERM | Epoch 0 | Loss: 1.3693931102752686 | Accuracy: 43.75%
ERM | Epoch 0 | Loss: 1.3688994646072388 | Accuracy: 43.75%
ERM | Epoch 0 | Loss: 1.368251085281372 | Accuracy: 43.75%
ERM | Epoch 0 | Loss: 1.3701510429382324 | Accuracy: 48.4375%
ERM | Epoch 0 | Loss: 1.3687610626220703 | Accuracy: 46.875%
ERM | Epoch 0 | Loss: 1.3698275089263916 | Accuracy: 42.96875%
ERM | Epoch 0 | Loss: 1.369978427886963 | Accuracy: 45.3125%
ERM | Epoch 0 | Loss: 1.3689149618148804 | Accuracy: 43.75%
ERM | Epoch 0 | Loss: 1.372247576713562 | Accuracy: 40.625%
ERM | Epoch 0 | Loss: 1.3694078922271729 | Accuracy: 43.75%
ERM | Epoch 0 | Loss: 1.3757190704345703 | Accuracy: 38.28125%
ERM | Epoch 0 | Loss: 1.3711811304092407 | Accuracy: 42.1875%
ERM | Epoch 0 | Loss: 1.3696744441986084 | Accuracy: 46.09375%
ERM | Epoch 0 | Loss: 1.3695772886276245 | Accuracy: 38.28125%
ERM | Epoch 0 | Loss: 1.371520757675171 | Accuracy: 41.40625%
ERM | Epoch 0 | Loss: 1.3736158609390259 | Accuracy: 39.0625%
ERM | Epoch 0 | Loss: 1.3730864524841309 | Accuracy: 39.84375%
ERM | Epoch 0 | Loss: 1.3686275482177734 | Accuracy: 42.96875%
ERM | Epoch 0 | Loss: 1.372788667678833 | Accuracy: 32.8125%
ERM | Epoch 0 | Loss: 1.366969108581543 | Accuracy: 46.09375%
ERM | Epoch 0 | Loss: 1.3723925352096558 | Accuracy: 38.28125%
ERM | Epoch 0 | Loss: 1.3706353902816772 | Accuracy: 40.625%
ERM | Epoch 0 | Loss: 1.3657753467559814 | Accuracy: 50.78125%
ERM | Epoch 0 | Loss: 1.360517144203186 | Accuracy: 53.90625%
ERM | Epoch 0 | Loss: 1.3744913339614868 | Accuracy: 32.8125%
ERM | Epoch 0 | Loss: 1.3659812211990356 | Accuracy: 48.4375%
ERM | Epoch 0 | Loss: 1.3654731512069702 | Accuracy: 45.3125%
ERM | Epoch 0 | Loss: 1.3692740201950073 | Accuracy: 40.625%
ERM | Epoch 0 | Loss: 1.3675734996795654 | Accuracy: 42.96875%
ERM | Epoch 0 | Loss: 1.3717795610427856 | Accuracy: 42.1875%
ERM | Epoch 0 | Loss: 1.3645472526550293 | Accuracy: 42.96875%
ERM | Epoch 0 | Loss: 1.3723623752593994 | Accuracy: 35.15625%
ERM | Epoch 0 | Loss: 1.3656219244003296 | Accuracy: 44.53125%
ERM | Epoch 0 | Loss: 1.3677542209625244 | Accuracy: 41.40625%
ERM | Epoch 0 | Loss: 1.367518663406372 | Accuracy: 45.3125%
ERM | Epoch 0 | Loss: 1.3686673641204834 | Accuracy: 46.875%
ERM | Epoch 0 | Loss: 1.3665069341659546 | Accuracy: 44.53125%
ERM | Epoch 0 | Loss: 1.3644124269485474 | Accuracy: 43.75%
ERM | Epoch 0 | Loss: 1.3698285818099976 | Accuracy: 41.40625%
ERM | Epoch 0 | Loss: 1.3624974489212036 | Accuracy: 48.4375%
ERM | Epoch 0 | Loss: 1.3615713119506836 | Accuracy: 49.21875%
ERM | Epoch 0 | Loss: 1.3675341606140137 | Accuracy: 41.40625%
ERM | Epoch 0 | Loss: 1.3618172407150269 | Accuracy: 42.1875%
ERM | Epoch 0 | Loss: 1.3661688566207886 | Accuracy: 42.1875%
ERM | Epoch 0 | Loss: 1.3660178184509277 | Accuracy: 42.96875%
ERM | Epoch 0 | Loss: 1.3641453981399536 | Accuracy: 46.09375%
ERM | Epoch 0 | Loss: 1.366202712059021 | Accuracy: 41.40625%
ERM | Epoch 0 | Loss: 1.3652057647705078 | Accuracy: 46.09375%
ERM | Epoch 0 | Loss: 1.3608088493347168 | Accuracy: 45.3125%
ERM | Epoch 0 | Loss: 1.368525505065918 | Accuracy: 35.9375%
ERM | Epoch 0 | Loss: 1.3661290407180786 | Accuracy: 40.625%
ERM | Epoch 0 | Loss: 1.3638795614242554 | Accuracy: 46.09375%
ERM | Epoch 0 | Loss: 1.3684512376785278 | Accuracy: 35.15625%
ERM | Epoch 0 | Loss: 1.3602958917617798 | Accuracy: 49.21875%
ERM | Epoch 0 | Loss: 1.3622578382492065 | Accuracy: 36.71875%
ERM | Epoch 0 | Loss: 1.36605703830719 | Accuracy: 38.28125%
ERM | Epoch 0 | Loss: 1.3623102903366089 | Accuracy: 47.65625%
ERM | Epoch 0 | Loss: 1.3649349212646484 | Accuracy: 42.1875%
ERM | Epoch 0 | Loss: 1.3638437986373901 | Accuracy: 40.625%
ERM | Epoch 0 | Loss: 1.3646280765533447 | Accuracy: 44.53125%
ERM | Epoch 0 | Loss: 1.3681983947753906 | Accuracy: 41.40625%
ERM | Epoch 0 | Loss: 1.3590234518051147 | Accuracy: 39.0625%
ERM | Epoch 0 | Loss: 1.3550297021865845 | Accuracy: 50.78125%
ERM | Epoch 0 | Loss: 1.3694581985473633 | Accuracy: 39.0625%
ERM | Epoch 0 | Loss: 1.3646392822265625 | Accuracy: 41.40625%
ERM | Epoch 0 | Loss: 1.3641444444656372 | Accuracy: 36.71875%
ERM | Epoch 0 | Loss: 1.3662883043289185 | Accuracy: 41.40625%
ERM | Epoch 0 | Loss: 1.3620132207870483 | Accuracy: 51.5625%
ERM | Epoch 0 | Loss: 1.3618087768554688 | Accuracy: 37.5%
ERM | Epoch 0 | Loss: 1.3614739179611206 | Accuracy: 39.0625%
ERM | Epoch 0 | Loss: 1.3569722175598145 | Accuracy: 53.125%
ERM | Epoch 0 | Loss: 1.3648931980133057 | Accuracy: 43.75%
ERM | Epoch 0 | Loss: 1.3638229370117188 | Accuracy: 39.0625%
ERM | Epoch 0 | Loss: 1.3533600568771362 | Accuracy: 44.53125%
